component,jtl_article_number
HL-DT-ST HL-DT-ST DVDRAM GH24NS95-HDD-sata-1GB,DVD-Brenner
2666DDCD4 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
ATA Go-Infinity-SSD-sata-256GB,SSD-240GB-2-5
9905702-119.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
9905702-137.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
9905702-159.A00G - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
HL-DT-ST HL-DT-ST DVDRAM GH24NSC0-HDD-sata-1GB,DVD-Brenner
"""HMT41GU6MFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB",RAM-8GB-DDR4
ATA 512GB SATA 2.5 SSD-SSD-sata-512GB,SSD-512GB-2-5
HL-DT-ST HL-DT-ST DVD-RAM GH15L-HDD-sata-1GB,DVD-Brenner
Optiarc Optiarc DVD RW AD-5260S-HDD-sata-1GB,DVD-Brenner
NMSO416E82-3200E - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
8ATF2G64HZ-3G2F1 - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-16GB,RAM-16GB-DDR4-SODIMM
HP24D4U7S8MBP-8 - DIMM DDR4 Synchronous Unbuffered (Unregistered) 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
M471A1G44CB0-CWE - SODIMM DDR4 Synchronous 2933 MHz (0.3 ns)-8GB,RAM-16GB-DDR4-SODIMM
SKHynix_HFS256GEJ4X112N-SSD-nvme-256GB,SSD-M2-256GB
V15_G2_Basic_W,PC-V15-Basic
D3162-A1,MAB-D3162-A12-HB
HMT41GU6MFR8C-PB - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
ATA Verbatim Vi550 S3-SSD-sata-1024GB,SSD-1TB-2-5
