component,jtl_article_number
HB-Ultra-4,PC-HB-Ultra
ATA P3-256-SSD-sata-256GB,SSD-240GB-2-5
KF556C36-16 - DIMM Synchronous 4400 MHz (0.2 ns)-16GB,RAM-16GB-DDR5
A520M PRO (MS-7D14),MAB-A520M
BasicV2Intel-GT710,PC-Basic-V2-Intel
MK5_AMD_W,PC-MKV-AMD
CT4000P3PSSD8-SSD-nvme-4000GB,SSD-M2-4TB
ROG STRIX Z790-F GAMING WIFI,Nicht im WAWI
Intel(R) Core(TM) i9-14900KF,CPU-i9-14900KF
F5-6000J3040G32G - DIMM Synchronous 4000 MHz (0.2 ns)-32GB,RAM-32GB-DDR5
KINGSTON SFYRD2000G-SSD-nvme-2000GB,SSD-M2-2TB
KINGSTON SFYRS1000G-SSD-nvme-1000GB,SSD-M2-1TB
MK2Intel_4060-13,PC-MK2-Intel
UltraV2Intel-GT730-13,PC-Ultra-V2-Intel
M379B5273DH0-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
TSSTcorp TSSTcorp CDDVDW SH-216DB-HDD-ata-1GB,DVD-Brenner
M471B1G73DB0-YK0 - DIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3
SAMSUNG MZVLB1T0HBLR-000H1-SSD-nvme-1024GB,SSD-M2-1TB
LENOVO_MT_10A8,Nicht im WAWI
INNO781600 - SODIMM DDR3 Synchronous 1600 MHz (0.6 ns)-8GB,RAM-8GB-DDR3-SODIMM
SSD Fehlt_W,Nicht im WAWI
MK2ProIntel-12,PC-MK2-Pro-Intel
M378A2G43CB3-CWE - DIMM DDR4 Synchronous 3200 MHz (0.3 ns)-16GB,RAM-16GB-DDR4
HMA81GU6AFR8N-UH - DIMM DDR4 Synchronous 2400 MHz (0.4 ns)-8GB,RAM-8GB-DDR4
MK5_4070_W,Nicht im WAWI
LENOVO_MT_10AH,Nicht im WAWI
ATA HS-SSD-WAVE(S) 512G-SSD-sata-512GB,SSD-512GB-2-5
ATA TEAM TM8PS7512G-SSD-sata-512GB,SSD-512GB-2-5
MK5_Pro_Intel,PC-MKV-Pro-Intel
"ATA SSD_2.5""_TLC_256GB_InnovationIT-SSD-sata-256GB",SSD-240GB-2-5
M378B5273CH0-CH9 - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
16KTF51264AZ-1G4M1 - DIMM DDR3 Synchronous 1333 MHz (0.8 ns)-4GB,RAM-4GB-DDR3
M471A5244CB0-CTD - SODIMM DDR4 Synchronous Unbuffered (Unregistered) 2667 MHz (0.4 ns)-4GB,RAM-4GB-DDR4-SODIMM
INTEL SSDPEKKF512G8L-SSD-nvme-512GB,SSD-512GB-M2
ATA LITEON CV3-8D128-HP-SSD-sata-128GB,JTL_ARTNR_M2SATA_SSD_128GB
